Piece 1
0,4,81,127
4,4,81,127
8,4,79,127
12,4,84,127
16,2,83,127
18,2,81,127
20,4,83,127
24,8,81,127
32,2,81,127
34,2,83,127
36,4,84,127
40,4,86,127
44,4,84,127
48,4,86,127
52,4,88,127
56,8,84,127
64,4,84,127
68,4,86,127
72,2,88,127
74,2,86,127
76,4,84,127
80,2,86,127
82,2,84,127
84,4,83,127
88,8,81,127
96,4,81,127
100,4,81,127
104,4,79,127
108,4,84,127
112,2,83,127
114,2,81,127
116,4,83,127
120,8,81,127

Piece 2
0,4,72,127
4,4,74,127
8,4,76,127
12,4,74,127
16,4,72,127
20,4,71,127
24,4,69,127
28,4,67,127
32,4,72,127
36,4,74,127
40,4,76,127
44,4,77,127
48,4,76,127
52,4,74,127
56,8,72,127
64,4,76,127
68,4,77,127
72,4,79,127
76,4,77,127
80,4,76,127
84,4,74,127
88,8,76,127
96,4,79,127
100,4,79,127
104,4,81,127
108,4,79,127
112,4,77,127
116,4,76,127
120,8,74,127
128,4,76,127
132,4,79,127
136,4,77,127
140,2,76,127
142,2,74,127
144,4,72,127
148,4,74,127
152,8,76,127
160,8,72,127
168,2,76,127
170,2,77,127
172,4,79,127
176,4,77,127
180,4,76,127
184,4,74,127
188,4,76,127
192,8,74,127
200,8,72,127

Piece 3
12,4,72,127
16,4,72,127
20,2,69,127
22,2,71,127
24,2,72,127
26,2,74,127
28,4,76,127
32,2,74,127
34,1,76,127
35,1,77,127
36,4,74,127
40,4,72,127
44,4,72,127
48,4,71,127
52,2,69,127
54,2,71,127
56,4,72,127
60,2,74,127
62,2,72,127
64,8,71,127
72,4,69,127
76,4,74,127
80,4,76,127
84,4,76,127
88,2,71,127
90,2,72,127
92,4,74,127
96,4,72,127
100,4,72,127
104,4,71,127
108,4,72,127
112,4,74,127
116,2,69,127
118,2,71,127
120,4,72,127
124,4,71,127
128,1,69,127
129,1,71,127
130,2,72,127
132,4,69,127
136,4,67,127
140,4,72,127
144,4,71,127
148,2,69,127
150,2,71,127
152,4,72,127
156,2,74,127
158,2,72,127
160,8,71,127
168,4,69,127

Piece 4
12,4,79,127
16,4,79,127
20,4,79,127
24,4,81,127
28,4,81,127
32,8,79,127
44,4,76,127
48,4,77,127
52,4,76,127
56,4,74,127
60,3,76,127
63,1,77,127
64,8,74,127
72,4,72,127
76,4,74,127
80,4,74,127
84,4,74,127
88,4,76,127
92,4,76,127
96,8,74,127
108,4,74,127
112,2,76,127
114,2,78,127
116,4,79,127
120,4,79,127
124,4,78,127
128,8,79,127
140,4,79,127
144,4,81,127
148,4,79,127
152,4,77,127
156,4,76,127
160,8,77,127
172,4,76,127
176,4,74,127
180,3,76,127
183,1,77,127
184,6,74,127
190,2,72,127
192,12,72,127

Piece 5
0,4,69,127
4,2,64,127
6,2,66,127
8,4,68,127
12,4,69,127
16,2,71,127
18,1,72,127
19,1,74,127
20,2,72,127
22,2,71,127
24,4,71,127
28,4,69,127
32,4,72,127
36,4,71,127
40,4,69,127
44,4,71,127
48,4,72,127
52,4,74,127
56,8,76,127
64,4,76,127
68,4,77,127
72,4,79,127
76,4,72,127
80,4,77,127
84,4,76,127
88,4,74,127
92,4,72,127
96,4,74,127
100,4,74,127
104,4,76,127
108,4,69,127
112,4,74,127
116,2,72,127
118,2,71,127
120,8,71,127
128,16,69,127

Piece 6
12,4,64,127
16,4,67,127
20,4,67,127
24,4,69,127
28,4,71,127
32,4,72,127
36,4,71,127
40,4,69,127
44,4,67,127
48,4,72,127
52,4,71,127
56,4,72,127
60,4,69,127
64,4,67,127
68,4,65,127
72,4,64,127
76,4,64,127
80,4,69,127
84,4,69,127
88,4,67,127
92,4,72,127
96,4,71,127
100,4,69,127
104,4,67,127
108,4,67,127
112,4,72,127
116,4,67,127
120,4,69,127
124,4,64,127
128,2,69,127
130,2,67,127
132,4,65,127
136,4,64,127
140,4,64,127
144,4,69,127
148,4,69,127
152,2,67,127
154,2,65,127
156,4,64,127
160,4,65,127
164,4,62,127
168,4,60,127
172,4,60,127
176,8,67,127
184,4,69,127
188,4,71,127
192,4,72,127
196,4,67,127
200,4,69,127
204,4,67,127
208,6,65,127
214,2,65,127
216,4,64,127

Piece 7
0,4,72,127
4,4,74,127
8,2,76,127
10,2,77,127
12,4,79,127
16,4,72,127
20,4,71,127
24,4,69,127
28,4,67,127
32,4,69,127
36,4,71,127
40,4,72,127
44,4,74,127
48,2,76,127
50,2,77,127
52,4,74,127
56,8,72,127
64,4,76,127
68,4,76,127
72,4,74,127
76,4,76,127
80,4,77,127
84,2,76,127
86,2,74,127
88,2,74,127
90,2,72,127
92,4,74,127
96,4,69,127
100,4,71,127
104,4,72,127
108,4,74,127
112,2,76,127
114,2,77,127
116,4,74,127
120,2,72,127
122,2,71,127
124,4,72,127

Piece 8
0,4,76,127
4,4,76,127
8,4,71,127
12,4,72,127
16,4,74,127
20,2,72,127
22,2,71,127
24,4,71,127
28,4,69,127
32,4,72,127
36,4,72,127
40,4,71,127
44,4,69,127
48,4,68,127
52,4,69,127
56,8,71,127
64,4,71,127
68,4,72,127
72,2,74,127
74,2,72,127
76,4,71,127
80,4,72,127
84,2,71,127
86,2,69,127
88,4,69,127
92,4,67,127
96,4,72,127
100,4,74,127
104,2,76,127
106,2,74,127
108,4,72,127
112,4,77,127
116,4,76,127
120,4,74,127
124,4,72,127
128,4,71,127
132,4,72,127
136,4,74,127
140,4,76,127
144,4,74,127
148,4,72,127
152,8,71,127
160,4,69,127
164,4,71,127
168,2,72,127
170,2,71,127
172,4,74,127
176,4,72,127
180,2,71,127
182,2,69,127
184,8,69,127

Piece 9
0,4,76,127
4,4,77,127
8,4,79,127
12,4,79,127
16,4,72,127
20,4,74,127
24,8,76,127
32,4,81,127
36,4,83,127
40,4,84,127
44,4,76,127
48,8,74,127
56,8,72,127
64,4,79,127
68,4,74,127
72,8,76,127
80,6,81,127
86,2,79,127
88,8,78,127
96,4,79,127
100,4,74,127
104,2,76,127
106,2,78,127
108,4,79,127
112,4,79,127
116,4,78,127
120,8,79,127
128,4,81,127
132,4,83,127
136,4,84,127
140,4,76,127
144,8,74,127
152,8,72,127

Piece 10
0,4,69,127
4,4,69,127
8,4,72,127
12,4,72,127
16,4,74,127
20,4,74,127
24,4,76,127
28,4,76,127
32,4,76,127
36,4,79,127
40,4,77,127
44,4,76,127
48,6,74,127
54,2,74,127
56,8,72,127
64,4,74,127
68,4,74,127
72,4,76,127
76,4,72,127
80,6,71,127
86,2,71,127
88,8,69,127
96,4,81,127
100,4,81,127
104,4,79,127
108,4,79,127
112,4,78,127
116,4,78,127
120,4,76,127
124,4,76,127
128,4,79,127
132,4,79,127
136,4,77,127
140,4,76,127
144,6,74,127
150,2,74,127
152,8,72,127
160,4,74,127
164,4,74,127
168,4,76,127
172,4,72,127
176,6,71,127
182,2,71,127
184,8,69,127

Piece 11
12,4,72,127
16,4,71,127
20,4,69,127
24,4,67,127
28,4,67,127
32,4,69,127
36,4,71,127
40,4,72,127
44,4,74,127
48,4,72,127
52,4,71,127
56,4,69,127
60,2,71,127
62,2,72,127
64,8,69,127
72,4,67,127
76,4,72,127
80,4,71,127
84,4,72,127
88,4,74,127
92,4,74,127
96,4,76,127
100,2,74,127
102,2,72,127
104,4,74,127
108,4,67,127
112,4,69,127
116,4,71,127
120,2,72,127
122,2,74,127
124,2,76,127
126,2,77,127
128,8,74,127
136,4,72,127

